CustomerID,CustomerName,Region,SignupDate,Age
C0083,Christina Stark,South America,2022-04-07,62
C0084,Belinda Garner,Asia,2024-09-17,35
C0085,Richard Brown,South America,2024-09-22,64
C0086,Stephanie Peterson,Europe,2022-09-18,41
C0087,Travis Campbell,South America,2024-04-11,43
C0088,Carlos Murray,Asia,2023-05-14,42
C0089,Paul Carter,Europe,2024-04-02,62
C0090,Charles Hamilton,Asia,2023-10-17,58
C0091,Lisa Kirk,South America,2023-03-16,46
C0092,Jacqueline Zamora,Asia,2024-05-29,32
C0093,Nancy Walker,Asia,2024-07-13,62
C0094,Emily Trevino,North America,2023-09-16,18
C0095,William Walker,South America,2023-03-04,42
C0096,Benjamin Mcclure,South America,2022-11-18,24
C0097,Tina Ford,Asia,2023-12-18,26
C0098,Laura Gilbert,North America,2024-10-21,41
C0099,Rodney Eaton,South America,2023-01-29,18
C0100,Clinton Gomez,Europe,2023-03-16,61
C0101,Kelsey Roberts,Asia,2023-09-30,25
C0102,Michael Atkinson,South America,2022-09-16,41
C0103,Jennifer Munoz,Europe,2022-05-15,28
C0104,Laura Bennett,South America,2022-02-10,34
C0105,Ryan Hampton,Europe,2024-11-11,25
C0106,Amanda Mcguire,Asia,2022-09-22,52
C0107,Dana Cantrell,South America,2023-02-07,52
C0108,David Davis,South America,2022-09-28,50
C0109,Abigail Jones,North America,2022-05-09,22
C0110,Elizabeth Wells,Asia,2024-09-21,59
C0111,Roger David,Europe,2024-11-13,56
C0112,Brian Adkins,South America,2022-07-07,58
C0113,Joseph Ortiz Jr.,South America,2022-06-17,45
C0114,Benjamin Anderson,Europe,2024-11-18,24
C0115,Joshua Hamilton,Asia,2024-11-11,26
C0116,James Martinez,North America,2024-09-11,25
C0117,Jeffrey Mcmahon,North America,2024-11-22,29
C0118,Jacob Holt,South America,2022-01-22,51
C0119,David Armstrong,Europe,2023-11-13,50
C0120,Francisco Diaz,South America,2023-01-13,40
C0121,Mark Atkinson,Europe,2023-07-23,41
C0122,Corey Ruiz,North America,2022-05-06,54
C0123,Jason Johnston,Asia,2023-11-05,52
C0124,Lindsay Perez,Europe,2024-08-26,61
C0125,Nicholas Taylor,North America,2022-12-18,57
C0126,Caitlin Brown,South America,2024-02-20,39
C0127,Kathryn Stevens,Europe,2024-04-04,44
C0128,Henry Leach,Asia,2023-05-29,52
C0129,Marcus Livingston,South America,2024-04-14,18
C0130,Robert Jones,South America,2023-04-19,52
C0131,Scott Wilson,North America,2022-06-05,54
C0132,Lisa Jackson,Europe,2023-02-01,64
C0133,Gwendolyn Carter,South America,2023-03-11,31
C0134,Theresa Gonzalez,Asia,2022-02-19,20
C0135,Toni Weaver,Europe,2022-08-23,18
C0136,Kristen Holder,Asia,2024-03-14,22
C0137,Robert Gardner,South America,2024-04-09,43
C0138,Cynthia Clayton,Asia,2024-11-01,31
C0139,Ricky Gutierrez,North America,2022-03-14,56
C0140,Gregory Estrada,Asia,2023-07-01,44
C0141,Paul Parsons,Europe,2023-02-23,26
C0142,Nicole Long DVM,Asia,2024-02-08,32
C0143,Brian Parker,Asia,2024-05-27,32
C0144,Andrea Hart,North America,2024-09-30,43
C0145,Wayne Stone,Asia,2023-01-13,59
C0146,Brittany Harvey,Asia,2024-09-04,30
C0147,Hunter Fuller,South America,2022-05-16,49
C0148,Matthew Rogers,South America,2023-04-16,56
C0149,Tina Wilson,Europe,2023-01-21,49
C0150,Angela Williams,South America,2022-09-13,21
C0151,Amber Gonzalez,South America,2024-11-22,47
C0152,Justin Evans,South America,2022-04-19,54
C0153,Justin Smith,South America,2022-03-20,40
C0154,Robert Sharp,North America,2024-10-27,56
C0155,Michelle Brown,South America,2023-03-23,62
C0156,William Adams,North America,2023-08-19,32
C0157,Miguel Wong,North America,2024-01-30,60
C0158,Wendy Browning,South America,2023-04-12,46
C0159,Austin Miller,Asia,2022-08-06,53
C0160,Jodi Cook,North America,2022-04-05,30
C0161,Jessica Warren,Asia,2022-03-14,49
C0162,Edwin Watson,Asia,2022-03-29,24
C0163,Tiffany Cain,South America,2023-06-08,39
C0164,Morgan Perez,Europe,2023-06-01,45
C0165,Juan Mcdaniel,South America,2022-04-09,19
C0166,John Rogers,Europe,2022-02-13,59
C0167,Brandy Welch,Europe,2024-01-27,62
C0168,Karen Clements MD,South America,2022-12-13,23
C0169,Jennifer Shaw,South America,2023-04-13,45
C0170,Logan Harris,Europe,2023-09-13,45
C0171,Michael Cowan,South America,2022-12-16,61
C0172,Jamie Webb,Europe,2024-09-09,61
C0173,Francisco Young,Asia,2022-10-06,37
C0174,Tracy Steele,South America,2022-11-03,47
C0175,Matthew Johnson,Asia,2022-04-16,28
C0176,Nicole Booth,North America,2022-03-23,45
C0177,Julia Kelly,Asia,2024-06-01,42
C0178,Carol Williams,Asia,2023-11-19,56
C0179,Donald Miller,Europe,2022-10-16,50
C0180,Amy Carpenter,Asia,2023-10-25,18
C0181,Alexander Barker,South America,2023-11-16,44
C0182,Joshua Preston,Europe,2024-12-28,30
C0183,Kimberly Johnson,North America,2024-01-23,58
C0184,Tina Jacobs,South America,2022-05-13,20
C0185,Kathleen Logan,North America,2023-10-17,56
C0186,Amber Alexander,Asia,2023-10-11,23
C0187,Kayla Kelly,South America,2024-08-02,25
C0188,Anna Ball,South America,2022-05-17,44
C0189,Sherri Dixon,North America,2024-01-22,26
C0190,Alexander Lowe,South America,2024-05-31,54
C0191,Samantha Gibson DVM,South America,2024-04-07,50
C0192,Sarah Arias,South America,2022-09-15,59
C0193,Douglas Torres,Asia,2023-02-03,61
C0194,Stacy Cook,North America,2024-05-04,41
C0195,Jeremy Mclaughlin,South America,2024-09-17,32
C0196,Laura Watts,Europe,2022-06-07,49
C0197,Christina Harvey,Europe,2023-03-21,49
C0198,Rebecca Ray,Europe,2022-02-27,41
C0199,Andrea Jenkins,Europe,2022-12-03,58
C0200,Kelly Cross,Asia,2023-06-11,29
